127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000665
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001455
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000900
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000675
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000291
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000351
127.0.0.1, 2019-08-18 18:20:00, GET, /examples/default/what, HTTP/1.1, 200, 0.536112
127.0.0.1, 2019-08-18 18:20:27, GET, /, HTTP/1.1, 303, 0.000413
127.0.0.1, 2019-08-18 18:20:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.016870
127.0.0.1, 2019-08-18 18:20:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000350
127.0.0.1, 2019-08-18 18:20:30, GET, /admin/default/index, HTTP/1.1, 303, 0.002213
127.0.0.1, 2019-08-18 18:20:30, GET, /admin/default/site, HTTP/1.1, 200, 0.019195
127.0.0.1, 2019-08-18 18:20:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
127.0.0.1, 2019-08-18 18:21:00, POST, /admin/default/site, HTTP/1.1, 303, 0.077938
127.0.0.1, 2019-08-18 18:21:00, GET, /admin/default/design/chucki, HTTP/1.1, 200, 0.143154
127.0.0.1, 2019-08-18 18:21:00, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000809
127.0.0.1, 2019-08-18 18:21:00, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.001429
127.0.0.1, 2019-08-18 18:21:00, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.000460
127.0.0.1, 2019-08-18 18:21:00, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.000365
127.0.0.1, 2019-08-18 18:21:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000180
127.0.0.1, 2019-08-18 18:21:16, GET, /admin/default/peek/chucki/models/db.py, HTTP/1.1, 200, 0.031957
127.0.0.1, 2019-08-18 18:21:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2019-08-19 00:22:37, GET, /admin/default/design/chucki, HTTP/1.1, 303, 0.014817
127.0.0.1, 2019-08-19 00:22:37, GET, /admin/default/index, HTTP/1.1, 200, 0.015592
127.0.0.1, 2019-08-19 00:22:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000560
127.0.0.1, 2019-08-19 00:23:06, GET, /, HTTP/1.1, 303, 0.000390
127.0.0.1, 2019-08-19 00:23:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.032778
127.0.0.1, 2019-08-19 00:23:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000405
127.0.0.1, 2019-08-19 00:23:11, GET, /lalala, HTTP/1.1, 200, 0.024965
127.0.0.1, 2019-08-19 00:23:11, GET, /lalala/static/images/background.jpg, HTTP/1.1, 404, 0.000254
127.0.0.1, 2019-08-19 00:23:32, GET, /lalala, HTTP/1.1, 200, 0.023058
127.0.0.1, 2019-08-19 00:23:32, GET, /lalala/static/images/background.jpg, HTTP/1.1, 404, 0.000259
127.0.0.1, 2019-08-19 00:23:34, GET, /lalala, HTTP/1.1, 200, 0.021262
127.0.0.1, 2019-08-19 00:23:48, GET, /admin/default/peek/lalala/views/default/index.html, HTTP/1.1, 303, 0.002805
127.0.0.1, 2019-08-19 00:23:48, GET, /admin/default/index, HTTP/1.1, 200, 0.008219
127.0.0.1, 2019-08-19 00:23:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2019-08-19 00:23:51, POST, /admin/default/index, HTTP/1.1, 303, 0.008255
127.0.0.1, 2019-08-19 00:23:51, GET, /admin/default/peek/lalala/views/default/index.html, HTTP/1.1, 200, 0.015145
127.0.0.1, 2019-08-19 00:23:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2019-08-19 00:34:58, GET, /, HTTP/1.1, 303, 0.000386
127.0.0.1, 2019-08-19 00:34:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.017545
127.0.0.1, 2019-08-19 00:34:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000301
127.0.0.1, 2019-08-19 00:35:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.017443
127.0.0.1, 2019-08-19 00:35:47, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001084
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001239
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004458
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002056
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001142
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001342
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001194
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001006
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002781
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000358
127.0.0.1, 2019-08-19 00:35:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000368
127.0.0.1, 2019-08-19 00:35:51, GET, /, HTTP/1.1, 303, 0.000289
127.0.0.1, 2019-08-19 00:35:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.016504
127.0.0.1, 2019-08-19 00:36:08, GET, /admin/default/index, HTTP/1.1, 303, 0.002402
127.0.0.1, 2019-08-19 00:36:08, GET, /admin/default/site, HTTP/1.1, 200, 0.023124
127.0.0.1, 2019-08-19 00:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2019-08-19 00:36:09, POST, /admin/default/check_version, HTTP/1.1, 200, 1.124528
127.0.0.1, 2019-08-19 00:36:21, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.028851
127.0.0.1, 2019-08-19 00:36:21, GET, /admin/default/site, HTTP/1.1, 200, 0.025112
127.0.0.1, 2019-08-19 00:36:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2019-08-19 00:36:51, GET, /admin/openshift/deploy, HTTP/1.1, 303, 0.010222
127.0.0.1, 2019-08-19 00:36:51, GET, /admin/default/site, HTTP/1.1, 200, 0.024701
127.0.0.1, 2019-08-19 00:36:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2019-08-19 00:37:27, GET, /admin/default/design/lalala, HTTP/1.1, 200, 0.068110
127.0.0.1, 2019-08-19 00:37:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2019-08-19 00:37:32, GET, /admin/default/peek/lalala/controllers/default.py, HTTP/1.1, 200, 0.011976
127.0.0.1, 2019-08-19 00:37:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/default/edit/lalala/controllers/default.py, HTTP/1.1, 200, 0.034653
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001578
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001655
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000777
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002106
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000721
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000615
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000663
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000383
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002823
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002104
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001741
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003325
127.0.0.1, 2019-08-19 00:37:49, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002370
